yyyy,mm,tmax,tmin,af,rain,sun,eastbourne
degc,degc,days,mm,hours,eastbourne
1959,1,6.4,1.1,13,109.5,100.4,eastbourne
1959,2,6.6,2.0,4,0.0,73.4,eastbourne
1959,3,10.4,5.1,0,43.0,128.4,eastbourne
1959,4,12.7,7.3,0,62.5,163.5,eastbourne
1959,5,16.8,9.3,0,12.5,250.1,eastbourne
1959,6,18.9,11.9,0,23.2,296.0,eastbourne
1959,7,21.6,14.2,0,39.8,333.0,eastbourne
1959,8,21.8,14.8,0,25.7,246.4,eastbourne
1959,9,20.8,12.8,0,6.6,265.8,eastbourne
1959,10,16.8,10.7,0,106.8,171.7,eastbourne
1959,11,11.7,6.2,0,151.5,72.0,eastbourne
1959,12,10.0,5.1,1,196.7,32.2,eastbourne
1960,1,7.4,2.6,6,82.0,54.1,eastbourne
1960,2,7.8,2.7,6,52.6,103.0,eastbourne
1960,3,9.0,5.0,1,80.5,100.5,eastbourne
1960,4,12.7,5.9,0,35.7,185.9,eastbourne
1960,5,16.2,9.7,0,70.4,204.4,eastbourne
1960,6,18.9,12.4,0,59.1,257.3,eastbourne
1960,7,18.4,13.4,0,60.2,195.3,eastbourne
1960,8,19.4,13.4,0,148.8,225.7,eastbourne
1960,9,17.6,11.9,0,66.5,158.0,eastbourne
1960,10,14.3,9.9,0,179.5,122.1,eastbourne
1960,11,11.8,7.1,0,218.8,76.9,eastbourne
1960,12,7.6,3.5,1,125.3,46.9,eastbourne
1961,1,7.3,3.1,3,147.5,65.0,eastbourne
1961,2,9.4,5.6,0,66.7,85.9,eastbourne
1961,3,11.4,4.4,0,6.3,190.8,eastbourne
1961,4,13.1,8.6,0,60.8,134.3,eastbourne
1961,5,15.4,8.6,0,32.0,282.3,eastbourne
1961,6,18.4,11.6,0,32.7,299.1,eastbourne
1961,7,19.5,12.9,0,69.1,248.1,eastbourne
1961,8,19.8,14.0,0,17.2,211.9,eastbourne
1961,9,19.3,13.5,0,64.5,159.4,eastbourne
1961,10,15.5,10.1,0,111.8,153.4,eastbourne
1961,11,10.1,6.0,1,100.6,69.3,eastbourne
1961,12,7.6,2.7,12,104.1,78.8,eastbourne
1962,1,7.8,3.5,6,89.7,73.9,eastbourne
1962,2,7.3,2.4,4,18.6,87.2,eastbourne
1962,3,6.4,1.0,11,50.0,149.2,eastbourne
1962,4,10.7,5.3,0,48.6,153.3,eastbourne
1962,5,12.7,7.5,0,41.8,182.3,eastbourne
1962,6,16.7,9.7,0,12.8,290.1,eastbourne
1962,7,18.1,12.9,0,53.1,197.6,eastbourne
1962,8,18.4,13.1,0,105.5,223.9,eastbourne
1962,9,17.1,11.4,0,64.7,182.3,eastbourne
1962,10,15.3,9.4,0,51.8,151.8,eastbourne
1962,11,9.4,5.2,2,69.8,37.1,eastbourne
1962,12,6.3,1.0,14,97.9,116.5,eastbourne
1963,1,1.0,-2.8,26,12.5,72.8,eastbourne
1963,2,2.0,-1.3,18,19.5,94.2,eastbourne
1963,3,7.9,3.4,3,74.0,135.0,eastbourne
1963,4,10.8,5.4,0,89.9,152.7,eastbourne
1963,5,13.8,7.8,0,42.0,239.5,eastbourne
1963,6,17.4,12.0,0,87.2,221.3,eastbourne
1963,7,18.6,12.9,0,43.4,287.4,eastbourne
1963,8,18.1,13.0,0,103.7,185.7,eastbourne
1963,9,17.1,11.9,0,88.3,124.2,eastbourne
1963,10,14.4,9.9,0,67.1,80.7,eastbourne
1963,11,12.3,8.3,0,209.6,69.6,eastbourne
1963,12,5.7,1.4,11,20.4,58.7,eastbourne
1964,1,6.0,2.2,6,33.7,37.0,eastbourne
1964,2,6.8,3.3,3,37.6,73.9,eastbourne
1964,3,6.7,2.9,3,124.3,74.3,eastbourne
1964,4,10.7,5.8,1,76.1,169.5,eastbourne
1964,5,15.9,10.1,0,83.7,232.4,eastbourne
1964,6,17.3,11.9,0,85.3,223.9,eastbourne
1964,7,19.8,14.2,0,34.9,244.0,eastbourne
1964,8,20.2,14.1,0,43.7,224.1,eastbourne
1964,9,19.0,12.6,0,34.4,233.9,eastbourne
1964,10,13.5,6.9,0,100.6,152.6,eastbourne
1964,11,11.2,6.8,2,104.0,65.9,eastbourne
1964,12,7.5,2.5,7,76.0,42.7,eastbourne
1965,1,6.7,2.9,3,91.0,77.5,eastbourne
1965,2,5.8,1.6,4,9.7,59.7,eastbourne
1965,3,8.6,3.2,6,74.7,145.5,eastbourne
1965,4,11.6,5.4,0,37.0,160.0,eastbourne
1965,5,14.5,8.7,0,46.2,213.5,eastbourne
1965,6,16.9,11.0,0,66.9,213.7,eastbourne
1965,7,17.7,12.6,0,101.5,156.9,eastbourne
1965,8,19.0,13.5,0,75.7,220.8,eastbourne
1965,9,16.8,10.6,0,137.5,168.7,eastbourne
1965,10,15.3,9.9,0,14.4,165.0,eastbourne
1965,11,9.6,4.0,4,72.5,90.8,eastbourne
1965,12,9.3,4.0,4,140.1,63.5,eastbourne
1966,1,5.7,2.5,9,59.6,35.3,eastbourne
1966,2,8.9,5.5,0,105.7,35.8,eastbourne
1966,3,10.2,4.4,0,20.5,149.0,eastbourne
1966,4,11.3,6.5,0,98.8,121.4,eastbourne
1966,5,15.1,8.6,0,37.6,231.9,eastbourne
1966,6,18.9,12.5,0,52.7,260.6,eastbourne
1966,7,18.9,13.2,0,73.4,203.0,eastbourne
1966,8,19.3,12.8,0,70.3,244.8,eastbourne
1966,9,18.5,12.4,0,31.6,205.9,eastbourne
1966,10,15.0,10.3,0,198.9,100.5,eastbourne
1966,11,9.6,4.5,1,73.3,56.3,eastbourne
1966,12,9.5,4.4,1,103.1,41.3,eastbourne
1967,1,7.3,3.6,5,59.5,78.4,eastbourne
1967,2,8.8,4.1,2,65.2,93.9,eastbourne
1967,3,10.8,5.6,0,40.0,184.7,eastbourne
1967,4,11.8,5.0,0,62.4,195.1,eastbourne
1967,5,14.7,8.9,0,67.7,221.0,eastbourne
1967,6,17.6,11.0,0,58.1,266.2,eastbourne
1967,7,20.6,14.3,0,11.6,308.8,eastbourne
1967,8,19.6,13.8,0,99.2,232.9,eastbourne
1967,9,17.8,12.6,0,102.6,149.9,eastbourne
1967,10,15.1,10.9,0,145.9,124.6,eastbourne
1967,11,10.0,4.5,0,84.5,89.2,eastbourne
1967,12,7.4,2.8,7,90.5,65.6,eastbourne
1968,1,7.0,2.4,9,82.6,55.9,eastbourne
1968,2,6.0,1.6,6,67.3,92.5,eastbourne
1968,3,9.5,4.6,1,21.4,162.7,eastbourne
1968,4,11.5,5.0,2,71.4,204.2,eastbourne
1968,5,13.5,8.0,0,53.6,219.8,eastbourne
1968,6,17.4,11.6,0,43.4,214.0,eastbourne
1968,7,19.0,12.7,0,51.0,206.7,eastbourne
1968,8,19.5,13.8,0,58.8,149.4,eastbourne
1968,9,17.9,12.8,0,117.3,174.1,eastbourne
1968,10,16.0,12.1,0,92.2,85.0,eastbourne
1968,11,9.9,6.0,1,23.0,54.5,eastbourne
1968,12,6.2,2.4,9,49.3,44.7,eastbourne
1969,1,9.0,5.0,2,75.0,45.9,eastbourne
1969,2,5.3,0.3,15,51.6,93.2,eastbourne
1969,3,7.8,2.6,5,61.9,80.0,eastbourne
1969,4,11.8,4.9,0,39.3,228.6,eastbourne
1969,5,14.3,8.8,0,65.8,232.7,eastbourne
1969,6,18.3,11.2,0,34.7,292.6,eastbourne
1969,7,21.3,14.3,0,75.0,265.6,eastbourne
1969,8,20.2,14.1,0,85.5,209.0,eastbourne
1969,9,18.9,12.9,0,7.1,163.0,eastbourne
1969,10,16.8,11.2,0,2.3,150.0,eastbourne
1969,11,10.7,5.2,4,176.6,86.4,eastbourne
1969,12,6.8,2.4,9,91.1,26.4,eastbourne
1970,1,7.5,3.6,7,119.9,51.0,eastbourne
1970,2,7.3,2.3,8,73.8,130.7,eastbourne
1970,3,7.8,1.9,10,45.7,140.6,eastbourne
1970,4,9.7,4.3,3,76.0,138.8,eastbourne
1970,5,15.8,9.4,0,34.0,242.3,eastbourne
1970,6,19.5,12.6,0,18.1,309.5,eastbourne
1970,7,18.4,12.7,0,59.5,232.9,eastbourne
1970,8,19.9,13.6,0,68.7,222.0,eastbourne
1970,9,18.4,12.4,0,113.8,195.3,eastbourne
1970,10,15.1,9.6,0,28.1,128.5,eastbourne
1970,11,12.1,7.0,1,209.9,68.1,eastbourne
1970,12,7.3,3.2,7,58.1*,58.0,eastbourne
1971,1,7.8,3.9,6,89.9,56.7,eastbourne
1971,2,8.3,3.4,0,25.5,93.5,eastbourne
1971,3,8.3,3.0,6,57.0,150.4,eastbourne
1971,4,10.8,5.4,0,34.2,158.8,eastbourne
1971,5,15.3,8.9,0,59.5,268.9,eastbourne
1971,6,16.9,10.9,0,181.6,208.5,eastbourne
1971,7,20.8,13.9,0,38.5,286.4,eastbourne
1971,8,19.4,14.6,0,69.8,173.3,eastbourne
1971,9,18.7,11.7,0,15.3,205.8,eastbourne
1971,10,16.1,10.1,0,47.3,167.7,eastbourne
1971,11,10.5,4.4,0,48.9,116.2,eastbourne
1971,12,9.3,5.2,2,22.7,39.0,eastbourne
1972,1,6.9,3.0,3,66.7,38.2,eastbourne
1972,2,7.7,4.1,1,52.1,51.5,eastbourne
1972,3,10.3,4.7,0,45.4,180.5,eastbourne
1972,4,11.9,6.6,0,65.5,158.1,eastbourne
1972,5,14.2,8.8,0,35.5,216.2,eastbourne
1972,6,15.3,10.1,0,63.8,218.0,eastbourne
1972,7,19.3,13.4,0,25.5,203.2,eastbourne
1972,8,19.4,13.1,0,21.6,229.3,eastbourne
1972,9,16.9,10.3,0,31.7,156.8,eastbourne
1972,10,14.5,9.5,0,23.2,124.9,eastbourne
1972,11,10.4,5.6,0,83.4,83.6,eastbourne
1972,12,9.8,5.8,0,78.6,66.0,eastbourne
1973,1,7.8,3.8,1,48.2,38.2,eastbourne
1973,2,7.7,2.7,5,42.3,87.1,eastbourne
1973,3,10.0,3.6,1,19.5,183.0,eastbourne
1973,4,11.0,5.2,0,47.9,141.5,eastbourne
1973,5,14.1,9.1,0,84.5,212.4,eastbourne
1973,6,18.9,12.2,0,35.7,301.4,eastbourne
1973,7,19.6,13.6,0,36.0,234.4,eastbourne
1973,8,21.4,15.0,0,17.6,240.4,eastbourne
1973,9,18.6,12.5,0,89.6,178.2,eastbourne
1973,10,14.0,7.8,0,43.7,132.3,eastbourne
1973,11,10.6,5.1,6,44.5,100.7,eastbourne
1973,12,8.7,4.2,5,48.2,69.2,eastbourne
1974,1,9.5,5.8,0,95.6,49.9,eastbourne
1974,2,8.7,4.4,1,103.0,66.5,eastbourne
1974,3,9.7,4.0,3,28.7,137.5,eastbourne
1974,4,12.7,6.0,0,15.1,203.0,eastbourne
1974,5,15.2,8.6,0,19.9,272.3,eastbourne
1974,6,17.8,11.7,0,47.7,263.0,eastbourne
1974,7,18.8,13.5,0,56.2,223.2,eastbourne
1974,8,19.6,13.6,0,85.5,255.1,eastbourne
1974,9,16.8,11.3,0,193.3,183.6,eastbourne
1974,10,11.5,5.7,0,140.5,111.2,eastbourne
1974,11,11.3,6.4,0,169.0,63.8,eastbourne
1974,12,10.6,6.9,0,68.5,57.6,eastbourne
1975,1,10.2,6.2,0,130.7,41.3,eastbourne
1975,2,8.6,3.6,0,33.4,106.0,eastbourne
1975,3,8.2,3.5,4,106.2,73.0,eastbourne
1975,4,11.1,5.3,1,46.8,172.6,eastbourne
1975,5,13.5,7.8,0,55.6,187.5,eastbourne
1975,6,19.5,11.2,0,19.2,330.0,eastbourne
1975,7,20.0,14.4,0,37.2,236.4,eastbourne
1975,8,22.3,15.5,0,52.0,274.3,eastbourne
1975,9,18.5,12.3,0,159.9,162.5,eastbourne
1975,10,14.2,9.0,0,35.4,111.7,eastbourne
1975,11,10.8,5.2,1,112.1,71.0,eastbourne
1975,12,7.7,3.2,8,29.4,63.0,eastbourne
1976,1,8.3,4.6,4,24.8,67.6,eastbourne
1976,2,7.1,2.8,4,43.5,44.3,eastbourne
1976,3,7.9,3.0,5,19.7,138.5,eastbourne
1976,4,12.1,4.9,0,15.3,243.7,eastbourne
1976,5,16.2,9.9,0,9.0,271.1,eastbourne
1976,6,20.9,13.5,0,5.2,323.0,eastbourne
1976,7,22.8,15.8,0,15.3,326.4,eastbourne
1976,8,22.6,14.3,0,4.8,331.7,eastbourne
1976,9,18.1,11.9,0,142.6,156.3,eastbourne
1976,10,15.2,11.0,0,161.4,75.3,eastbourne
1976,11,10.8,6.4,0,189.4,46.6,eastbourne
1976,12,6.8,2.0,7,80.1,77.2,eastbourne
1977,1,6.8,2.9,7,86.9,73.5,eastbourne
1977,2,9.1,4.9,1,81.6,95.1,eastbourne
1977,3,10.4,5.6,1,60.1,133.1,eastbourne
1977,4,10.9,5.1,1,29.7,192.1,eastbourne
1977,5,15.1,8.3,0,48.5,231.2,eastbourne
1977,6,16.8,10.9,0,35.3,168.4,eastbourne
1977,7,19.9,13.6,0,22.3,227.9,eastbourne
1977,8,19.2,13.4,0,73.5,192.9,eastbourne
1977,9,17.2,11.7,0,23.2,143.2,eastbourne
1977,10,15.9,11.0,0,41.6,137.2,eastbourne
1977,11,10.7,6.3,0,114.5,95.4,eastbourne
1977,12,9.6,6.1,0,75.2,42.3,eastbourne
1978,1,7.4,2.5,6,109.4,65.7,eastbourne
1978,2,5.9,1.9,10,51.2,60.8,eastbourne
1978,3,9.7,4.7,1,52.0,126.6,eastbourne
1978,4,10.0,4.7,1,51.6,155.3,eastbourne
1978,5,15.4,8.7,0,32.2,213.9,eastbourne
1978,6,17.5,11.8,0,40.1,244.5,eastbourne
1978,7,18.3,13.4,0,103.8,168.6,eastbourne
1978,8,18.8,13.2,0,14.6,219.4,eastbourne
1978,9,18.5,12.6,0,12.9,184.8,eastbourne
1978,10,15.9,10.4,0,4.0,137.8,eastbourne
1978,11,12.4,8.0,4,10.3,94.3,eastbourne
1978,12,8.9,4.7,5,185.7,31.7,eastbourne
1979,1,4.8,-0.2,13,77.4,71.5,eastbourne
1979,2,5.0,0.8,8,90.6,61.5,eastbourne
1979,3,8.3,3.5,0,96.0,132.3,eastbourne
1979,4,11.4,5.8,0,54.2,149.7,eastbourne
1979,5,14.0,8.0,0,79.5,253.2,eastbourne
1979,6,17.1,11.6,0,35.6,175.7,eastbourne
1979,7,20.0,13.7,0,29.5,239.9,eastbourne
1979,8,19.0,13.0,0,75.8,220.4,eastbourne
1979,9,17.8,11.6,0,21.8,198.1,eastbourne
1979,10,15.7,10.4,0,69.6,123.4,eastbourne
1979,11,11.5,5.7,0,75.5,95.8,eastbourne
1979,12,9.5,5.8,2,118.3,58.0,eastbourne
1980,1,6.3,1.9,8,67.0,65.7,eastbourne
1980,2,9.0,5.1,0,85.7,59.0,eastbourne
1980,3,8.7,4.0,2,102.9,93.8,eastbourne
1980,4,12.6,6.3,0,10.3,193.4,eastbourne
1980,5,15.6,8.5,0,44.5,270.5,eastbourne
1980,6,17.1,11.4,0,107.4,250.0,eastbourne
1980,7,18.0,12.8,0,155.7,194.9,eastbourne
1980,8,19.7,14.3,0,100.4,202.4,eastbourne
1980,9,18.6,13.8,0,48.6,157.8,eastbourne
1980,10,14.2,8.3,0,122.2,131.0,eastbourne
1980,11,9.5,5.5,1,56.4,68.9,eastbourne
1980,12,8.7,4.1,6,51.3,74.2,eastbourne
1981,1,8.2,3.2,5,35.8,78.7,eastbourne
1981,2,6.5,1.5,9,23.8,90.2,eastbourne
1981,3,10.6,6.7,0,132.7,75.3,eastbourne
1981,4,11.5,5.0,0,44.4,149.9,eastbourne
1981,5,14.5,8.4,0,109.5,157.0,eastbourne
1981,6,16.1,10.2,0,49.0,179.2,eastbourne
1981,7,19.1,13.0,0,25.4,172.9,eastbourne
1981,8,20.9,14.1,0,21.8,236.1,eastbourne
1981,9,18.9,13.3,0,127.2,174.8,eastbourne
1981,10,13.0,8.1,0,167.9,110.7,eastbourne
1981,11,11.7,7.0,0,45.1,64.2,eastbourne
1981,12,6.3,1.4,13,83.1,52.4,eastbourne
1982,1,7.0,2.7,8,43.9,72.1,eastbourne
1982,2,7.8,3.9,2,38.1,77.2,eastbourne
1982,3,9.8,4.2,1,58.7,182.0,eastbourne
1982,4,12.6,5.8,0,18.1,216.5,eastbourne
1982,5,15.4,9.3,0,41.1,252.8,eastbourne
1982,6,18.8,13.8,0,52.0,254.1,eastbourne
1982,7,21.4,14.6,0,16.3,238.0,eastbourne
1982,8,20.2,14.6,0,39.7,220.7,eastbourne
1982,9,19.3,13.0,0,122.6,170.4,eastbourne
1982,10,14.4,9.5,0,175.8,71.3,eastbourne
1982,11,12.2,8.0,1,129.7,70.8,eastbourne
1982,12,8.7,3.4,3,117.9,51.7,eastbourne
1983,1,9.8,5.8,1,77.7,59.4,eastbourne
1983,2,5.4,1.3,7,48.0,100.0,eastbourne
1983,3,9.4,4.2,0,54.8,119.6,eastbourne
1983,4,10.9,5.3,0,104.9,173.5,eastbourne
1983,5,13.6,8.6,0,94.2,191.4,eastbourne
1983,6,18.4,12.6,0,19.9,230.8,eastbourne
1983,7,22.9,15.6,0,17.6,282.0,eastbourne
1983,8,22.1,15.1,0,11.4*,269.0,eastbourne
1983,9,18.1,12.9,0,83.6*,139.3,eastbourne
1983,10,15.2,10.0,0,69.6*,139.2,eastbourne
1983,11,11.2,6.9,1,50.1*,67.1,eastbourne
1983,12,9.6,5.2,4,93.3*,70.9,eastbourne
1984,1,8.5,3.9,0,151.8,85.1,eastbourne
1984,2,7.2,3.2,0,42.4,74.9,eastbourne
1984,3,8.4,3.1,0,81.0,85.5,eastbourne
1984,4,11.9,4.9,0,2.5,253.8,eastbourne
1984,5,13.4,7.7,0,65.2,139.1,eastbourne
1984,6,18.2,11.3,0,34.5,279.2,eastbourne
1984,7,19.9,13.6,0,40.6,256.5,eastbourne
1984,8,20.8,14.8,0,25.5,190.2,eastbourne
1984,9,17.7,12.5,0,84.8,126.4,eastbourne
1984,10,15.4,10.2,0,103.3,116.0,eastbourne
1984,11,12.9,8.3,0,138.6,69.7,eastbourne
1984,12,10.0,5.2,0,137.7,55.9,eastbourne
1985,1,4.1,-0.9,17,64.2,60.7,eastbourne
1985,2,5.2,0.9,11,36.2,84.8,eastbourne
1985,3,8.1,2.5,7,58.6,125.9,eastbourne
1985,4,12.1,6.2,0,37.7,179.8,eastbourne
1985,5,15.5,9.3,0,49.8,213.9,eastbourne
1985,6,17.3,11.2,0,48.1,214.3,eastbourne
1985,7,19.9,14.2,0,38.8,283.8,eastbourne
1985,8,18.6,13.7,0,85.2,231.5,eastbourne
1985,9,18.4,12.5,0,22.9,173.3,eastbourne
1985,10,15.4,10.1,0,30.8,150.3,eastbourne
1985,11,8.9,3.1,8,82.5,99.7,eastbourne
1985,12,10.2,6.9,4,94.8,47.4,eastbourne
1986,1,7.6,2.9,5,146.8,67.2,eastbourne
1986,2,2.0,-1.7,23,15.9,56.4,eastbourne
1986,3,7.5,2.3,7,89.1,122.8,eastbourne
1986,4,9.7,4.3,1,53.2,171.2,eastbourne
1986,5,13.7,8.7,0,36.6,230.7,eastbourne
1986,6,18.7,12.3,0,28.0,258.2,eastbourne
1986,7,19.8,14.1,0,15.6,232.7,eastbourne
1986,8,18.3,12.7,0,43.9,201.0,eastbourne
1986,9,16.1,9.7,0,45.4,170.4,eastbourne
1986,10,15.3,10.4,0,100.7,125.3,eastbourne
1986,11,12.2,7.1,0,129.8,88.6,eastbourne
1986,12,9.9,4.8,1,107.6,79.4,eastbourne
1987,1,3.4,-0.4,17,21.1,56.7,eastbourne
1987,2,6.7,2.1,7,52.7,86.3,eastbourne
1987,3,7.6,2.3,6,96.5,119.3,eastbourne
1987,4,12.9,7.3,0,50.5,209.3,eastbourne
1987,5,14.4,7.7,0,49.0,234.0,eastbourne
1987,6,16.6,11.3,0,64.9,200.9,eastbourne
1987,7,19.7,14.1,0,82.1,232.8,eastbourne
1987,8,20.0,13.8,0,71.4,226.3,eastbourne
1987,9,18.3,12.9,0,44.0,158.7,eastbourne
1987,10,14.8,10.1,0,246.9,111.5,eastbourne
1987,11,10.5,5.8,1,96.6,71.0,eastbourne
1987,12,8.7,4.9,4,33.3,39.0,eastbourne
1988,1,9.1,4.9,1,194.9,72.2,eastbourne
1988,2,8.4,3.2,2,57.7,138.3,eastbourne
1988,3,9.9,4.9,3,98.0,102.5,eastbourne
1988,4,11.6,5.8,1,34.2,191.1,eastbourne
1988,5,15.9,10.2,0,35.8,234.4,eastbourne
1988,6,17.6,11.9,0,16.2,168.6,eastbourne
1988,7,18.1,13.7,0,63.6,223.5,eastbourne
1988,8,19.2,13.8,0,46.5,223.7,eastbourne
1988,9,17.7,12.5,0,59.3,146.8,eastbourne
1988,10,15.1,10.7,0,96.2,122.4,eastbourne
1988,11,10.2,5.1,1,30.0,112.8,eastbourne
1988,12,10.3,6.6,0,29.9,44.7,eastbourne
1989,1,9.6,5.4,1,34.1,93.3,eastbourne
1989,2,9.6,4.9,0,55.4,87.4,eastbourne
1989,3,11.2,6.4,1,67.7,109.8,eastbourne
1989,4,10.7,5.3,0,64.5,163.8,eastbourne
1989,5,17.4,10.7,0,3.2,330.8,eastbourne
1989,6,18.9,12.1,0,61.4,308.4,eastbourne
1989,7,22.2,15.5,0,21.3,287.2,eastbourne
1989,8,21.6,14.7,0,18.3,282.8,eastbourne
1989,9,19.8,13.7,0,41.4,159.4,eastbourne
1989,10,16.7,11.5,0,92.8,125.0,eastbourne
1989,11,11.3,5.9,2,69.5,116.3,eastbourne
1989,12,9.7,5.4,3,135.6,29.9,eastbourne
1990,1,10.2,6.3,0,111.5,50.2,eastbourne
1990,2,11.0,7.1,0,111.6,107.0,eastbourne
1990,3,11.7,6.8,0,7.2,161.1,eastbourne
1990,4,13.1,6.0,0,60.9,268.7,eastbourne
1990,5,17.6,10.3,0,7.2,323.2,eastbourne
1990,6,17.1,11.8,0,43.2,174.6,eastbourne
1990,7,20.3,13.9,0,5.0,289.0,eastbourne
1990,8,22.3,15.8,0,35.5,293.3,eastbourne
1990,9,18.5,11.5,0,37.2,193.0,eastbourne
1990,10,16.0,11.5,0,127.2,126.6,eastbourne
1990,11,10.8,7.1,0,83.5,95.1,eastbourne
1990,12,7.9,4.4,1,69.9,53.6,eastbourne
1991,1,7.7,4.4,0,99.0,64.7,eastbourne
1991,2,4.8,0.3,15,40.8,77.1,eastbourne
1991,3,10.7,5.8,0,55.1,118.4,eastbourne
1991,4,12.0,5.7,1,43.1,195.8,eastbourne
1991,5,14.2,7.7,0,16.0,161.6,eastbourne
1991,6,15.2,10.5,0,139.3,150.1,eastbourne
1991,7,19.7,14.4,0,131.6,232.8,eastbourne
1991,8,21.1,15.1,0,7.6,300.1,eastbourne
1991,9,19.5,13.2,0,39.7,200.3,eastbourne
